Wall time,Step,Value
1535620595.8574493,51,20.968788146972656
1535620776.259066,181,13.334050178527832
1535620859.6085467,241,15.184678077697754
1535621085.239446,401,14.795744895935059
1535621113.4898312,421,10.592291831970215
1535621155.6828415,451,12.894887924194336
1535621311.8265994,561,8.93618392944336
1535621520.4555988,711,14.52432632446289
1535621561.882606,741,13.4558744430542
1535621838.9044793,941,9.712026596069336
1535621949.0372777,1021,11.394742012023926
1535622003.84297,1061,8.851741790771484
1535622281.5614772,1261,9.64061164855957
1535622682.2676804,1551,8.360356330871582
1535622723.6705701,1581,9.749080657958984
1535622847.7429862,1671,8.255354881286621
1535623002.2684243,1781,10.888248443603516
1535623071.6675806,1831,7.247123718261719
1535623099.3874733,1851,9.668706893920898
1535623169.1350777,1901,6.616271018981934
1535623710.0428243,2291,8.764708518981934
1535623778.562161,2341,7.543171405792236
1535623986.5913987,2491,11.94172477722168
1535624070.7889647,2551,7.328429698944092
1535624139.0662756,2601,8.194640159606934
1535624234.6647317,2671,10.795790672302246
1535624316.880163,2731,8.09508991241455
1535624576.5095553,2921,9.751754760742188
1535624794.675483,3081,11.277986526489258
1535624821.710934,3101,11.321139335632324
1535624931.5383368,3181,13.518796920776367
1535625095.1029286,3301,9.18085765838623
1535625217.9075031,3391,9.663049697875977
1535625327.8247693,3471,14.705781936645508
1535625545.1014552,3631,15.671313285827637
1535625599.277437,3671,9.832873344421387
1535626344.792285,4211,7.732230186462402
1535626358.5942006,4221,6.491853713989258
1535626596.433883,4391,7.81434440612793
1535626638.198493,4421,7.057628154754639
1535626679.8116076,4451,8.733368873596191
1535626886.647629,4601,9.7949857711792
1535626928.2200398,4631,7.007930278778076
1535626942.386866,4641,6.5107197761535645
1535627081.9843092,4741,7.475687026977539
1535627313.1605425,4911,7.3066487312316895
1535627339.9249663,4931,9.701372146606445
1535627627.085939,5141,6.639732837677002
1535627860.1738226,5311,8.43348217010498
1535627928.1835425,5361,7.9981465339660645
1535628298.5404947,5631,8.05732536315918
1535628436.7936265,5731,8.539921760559082
1535628518.2249131,5791,7.908440113067627
1535628613.837556,5861,7.929475784301758
1535628627.1412988,5871,7.354544162750244
1535628833.4159465,6021,7.305567741394043
