Wall time,Step,Value
1535441730.0494602,181,0.4454978406429291
1535441874.7178197,421,0.6150833964347839
1535441892.8194227,451,0.6270256042480469
1535441959.3242154,561,0.6626598238945007
1535442049.771189,711,0.6970539093017578
1535442067.8170557,741,0.7024252414703369
1535442188.7488353,941,0.7314938306808472
1535442555.8869753,1551,0.7804040908813477
1535442573.9402947,1581,0.782071590423584
1535442628.6375377,1671,0.7868786454200745
1535442725.1142802,1831,0.7945848107337952
1535443003.8734696,2291,0.812731146812439
1535443034.087242,2341,0.8144099712371826
1535443161.0308177,2551,0.8206525444984436
1535443191.4393344,2601,0.8220186829566956
1535443233.6316204,2671,0.8239284753799438
1535443269.7371757,2731,0.8255293965339661
1535443481.423018,3081,0.8338437676429749
1535443493.6271467,3101,0.8342675566673279
1535443542.0129695,3181,0.8359525203704834
1535443717.1587884,3471,0.8415952920913696
1535443838.206343,3671,0.8451541662216187
1535444164.1428225,4211,0.8532636165618896
1535444170.1220446,4221,0.8534122109413147
1535444290.6007624,4421,0.856101393699646
1535444308.8166683,4451,0.8564895987510681
1535444399.326335,4601,0.8584012389183044
1535444417.3406286,4631,0.8587600588798523
1535444423.5182421,4641,0.8588700890541077
1535444484.0978413,4741,0.860058069229126
1535444599.3991096,4931,0.8622699975967407
1535444858.8947234,5361,0.8667200207710266
1535445022.2283173,5631,0.8692705631256104
1535445118.8850522,5791,0.8707160353660583
1535445161.5793023,5861,0.8713310956954956
1535445167.5219693,5871,0.8714151382446289
1535445367.1690361,6201,0.8741571307182312
1535445451.7011514,6341,0.8752568960189819
1535445493.8577065,6411,0.8757658004760742
1535445499.8017778,6421,0.8758435845375061
1535445511.7164128,6441,0.8759968280792236
1535445529.5768514,6471,0.8761880397796631
1535445541.5453777,6491,0.8763269186019897
1535445614.2945414,6611,0.8771848678588867
1535445674.6454382,6711,0.8778965473175049
1535445934.2053044,7141,0.8808349967002869
1535445982.2045836,7221,0.8813503980636597
1535446030.447679,7301,0.8818556070327759
1535446163.3308997,7521,0.8832342624664307
1535446187.4576733,7561,0.8834724426269531
1535446240.7573936,7651,0.8839976191520691
1535446264.5467706,7691,0.8842199444770813
1535446276.635222,7711,0.8843328356742859
1535446360.5710618,7851,0.88514643907547
1535446372.6800058,7871,0.8852640390396118
1535446403.2955556,7921,0.8855457305908203
1535446415.3538468,7941,0.8856621384620667
1535446463.7172847,8021,0.8860941529273987
1535446499.8551514,8081,0.8864288926124573
1535446505.9546635,8091,0.8864825963973999
1535446644.219583,8321,0.8876535892486572
1535446668.2878065,8361,0.887863278388977
1535447097.0054183,9071,0.8913145065307617
1535447108.8819916,9091,0.8914036154747009
1535447308.0383945,9421,0.8928715586662292
1535447325.8740728,9451,0.8930080533027649
1535447428.3962646,9621,0.8937312960624695
1535447482.677902,9711,0.8941033482551575
1535447488.6984432,9721,0.8941469192504883
1535447524.7781355,9781,0.8943961262702942
1535447530.7838695,9791,0.8944399952888489
1535447560.6596978,9841,0.8946418762207031
1535447669.7726538,10021,0.8953546285629272
1535447687.9944224,10051,0.8954694271087646
1535447742.522795,10141,0.8958333134651184
1535448038.125266,10631,0.8976566791534424
1535448056.215755,10661,0.8977699279785156
1535448092.6828637,10721,0.8979882597923279
1535448128.8145213,10781,0.8982059955596924
1535448159.0535676,10831,0.8983840346336365
1535448219.8605692,10931,0.8987370729446411
1535448255.7460012,10991,0.8989462852478027
1535448286.030955,11041,0.8991146683692932
1535448596.7075222,11561,0.9008668661117554
1535448626.9913027,11611,0.9010207653045654
1535448633.1148224,11621,0.9010553956031799
1535448741.8704712,11801,0.9016300439834595
1535448820.6160514,11931,0.9020299911499023
1535448899.1512675,12061,0.9024192094802856
1535449129.0064404,12441,0.9035401940345764
1535449213.5322237,12581,0.903949499130249
1535449231.477173,12611,0.9040365815162659
1535449352.1293454,12811,0.9045750498771667
1535449389.0921924,12871,0.9047406315803528
1535449431.5012476,12941,0.904930591583252
1535449563.5153267,13161,0.9055217504501343
1535449581.2138023,13191,0.9056049585342407
1535449645.7940633,13301,0.9059001803398132
1535449663.3707526,13331,0.9059754014015198
1535449681.1199422,13361,0.9060534238815308
1535449686.9631417,13371,0.9060796499252319
1535449969.5288339,13851,0.9072743654251099
1535450005.3672426,13911,0.907422661781311
1535450011.217816,13921,0.907444953918457
1535450141.5233593,14141,0.9079654216766357
1535450212.6374702,14261,0.908256471157074
1535450271.6189675,14361,0.9084966778755188
1535450448.4037988,14661,0.9091914296150208
1535450513.3541565,14771,0.9094388484954834
1535450560.8315582,14851,0.9096176624298096
1535450597.4775116,14911,0.9097509980201721
1535450791.406789,15231,0.9104384779930115
1535450815.6955757,15271,0.9105203747749329
1535450965.7900817,15521,0.9110430479049683
1535451060.9267144,15681,0.911379873752594
1535451066.9342835,15691,0.9113972783088684
